DESPESA
Embasa
Coelba
Aluguel
Internet
Manutencao preventiva equipamentos medicos
Monitoramento eletronico (segurança)
Sistema administrativo
Medicamentos
Material medico/hospitalar
Material odontologico
Manutencao preventiva equipamentos odontologicos
Material de Limpeza
Manutencao Predial
Ar Condicionado
Manutencao de Informatica
Material Grafico
Material de Expediente
Manutencao de Veiculos
Combutivel
Seguro
Generos Alimenticios Pereciveis
Generos Alimenticios Nao Pereciveis
Gas de Cozinha
Gas Medicinal
Coleta de Residos Biologicos e Quimicos
Marmitas
Alimentacao externa
Agua Potavel
OPM
